q_id,group,score,accuracy,reasoning,tokens,latency_ms,retrieval_ms,type,difficulty,bim_insight,hallucination,expanded_from_seed,context_is_iap,truncated,prompt_mode
0,D,5,3,2,2083,13337,1113,multi_hop_topological,Expert,True,True,True,True,False,appendix_c
1,D,2,1,1,1858,6969,1125,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
2,D,7,4,2,2418,13621,1131,multi_hop_topological,Expert,True,True,True,True,False,appendix_c
3,D,5,3,2,3079,12592,1137,multi_hop_topological,Expert,True,True,True,True,False,appendix_c
4,D,1,0,1,2648,6828,387,spatial_awareness,High,False,True,True,True,False,appendix_c
5,D,9,5,2,3170,13227,383,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
6,D,1,0,1,3146,7318,335,spatial_awareness,High,False,True,True,True,False,appendix_c
7,D,4,3,1,2692,8879,350,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
8,D,1,0,1,3146,6793,340,spatial_awareness,High,False,True,True,True,False,appendix_c
9,D,1,1,0,2859,7563,359,spatial_awareness,High,False,True,True,True,False,appendix_c
10,D,8,5,2,2370,13727,405,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
11,D,2,1,1,2027,12920,350,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
12,D,2,1,1,3060,7362,362,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
13,D,7,4,2,2634,6746,336,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
14,D,7,4,2,2051,7286,318,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
15,D,1,1,0,2830,7294,352,spatial_awareness,High,False,True,True,True,False,appendix_c
16,D,1,1,0,2737,11353,356,spatial_awareness,High,False,True,True,True,False,appendix_c
17,D,2,1,1,2789,12553,347,spatial_awareness,High,False,True,True,True,False,appendix_c
18,D,3,2,1,2918,6888,365,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
19,D,8,5,2,1959,15011,350,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
20,D,9,5,3,2523,12619,318,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
21,D,8,5,2,2614,6668,367,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
22,D,1,0,1,2871,7587,363,spatial_awareness,High,False,True,True,True,False,appendix_c
23,D,1,0,1,2574,7681,1353,spatial_awareness,High,False,True,True,True,False,appendix_c
24,D,4,3,1,3158,11629,324,multi_hop_topological,Expert,True,True,True,True,False,appendix_c
25,D,4,3,1,1854,9439,378,analytical_aggregation,Hard,True,True,True,True,False,appendix_c
26,D,2,1,1,2961,13096,345,multi_hop_topological,Expert,True,True,True,True,False,appendix_c
27,D,9,5,3,2659,13604,303,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
28,D,7,4,2,2066,12746,356,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
29,D,2,1,1,2795,6466,312,spatial_awareness,High,False,True,True,True,False,appendix_c
30,D,3,2,1,2758,7246,329,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
31,D,5,3,2,2733,6998,311,multi_hop_topological,Expert,True,True,True,True,False,appendix_c
32,D,0,0,0,3138,7094,297,spatial_awareness,High,False,True,True,True,False,appendix_c
33,D,2,1,1,2336,12946,335,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
34,D,3,2,1,3190,13912,345,multi_hop_topological,Expert,True,True,True,True,False,appendix_c
35,D,7,4,2,3124,15226,305,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
36,D,2,1,1,1991,13616,334,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
37,D,3,2,1,2150,12652,327,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
38,D,2,1,1,3088,7029,455,spatial_awareness,High,False,True,True,True,False,appendix_c
39,D,9,5,2,2192,14191,475,analytical_aggregation,Hard,False,False,True,True,False,appendix_c
40,D,1,0,1,2721,12291,499,spatial_awareness,High,False,True,True,True,False,appendix_c
41,D,3,2,1,2788,9688,326,spatial_awareness,High,False,True,True,True,False,appendix_c
42,D,9,5,3,2719,12429,466,spatial_awareness,High,False,False,True,True,False,appendix_c
43,D,4,2,1,2566,8291,1168,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
44,D,9,5,3,2304,14182,364,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
45,D,7,4,2,2543,12560,359,multi_hop_topological,Expert,True,False,True,True,False,appendix_c
46,D,2,1,1,2541,6972,333,spatial_awareness,High,False,True,True,True,False,appendix_c
47,D,2,1,1,2516,10503,370,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
48,D,1,0,1,2602,12681,364,spatial_awareness,High,False,True,True,True,False,appendix_c
49,D,6,4,2,2825,8142,342,analytical_aggregation,Hard,False,True,True,True,False,appendix_c
