q_id,group,score,accuracy,reasoning,tokens,latency_ms,retrieval_ms,type,difficulty,bim_insight,hallucination,expanded_from_seed,context_is_iap,truncated,prompt_mode
0,E,3,2,1,1674,7669,689,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
0,F,2,1,1,1871,7925,608,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
1,E,2,1,1,1285,6586,613,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
1,F,2,1,1,1383,7720,655,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
2,E,2,1,1,1699,9782,434,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
2,F,7,4,2,2155,7381,339,multi_hop_topological,Expert,True,False,True,False,False,appendix_c
3,E,2,1,1,1698,14750,397,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
3,F,4,3,1,1995,7327,426,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
4,E,1,1,0,1235,10458,308,spatial_awareness,High,False,True,False,False,False,appendix_c
4,F,1,0,1,1329,5852,319,spatial_awareness,High,False,True,False,False,False,appendix_c
5,E,1,1,0,1746,6964,343,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
5,F,1,0,1,1982,11103,364,multi_hop_topological,Expert,False,True,True,False,False,appendix_c
6,E,4,2,2,1298,13882,315,spatial_awareness,High,False,True,False,False,False,appendix_c
6,F,1,0,1,1368,6652,339,spatial_awareness,High,False,True,False,False,False,appendix_c
7,E,2,1,1,1891,8570,1004,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
7,F,1,0,1,1957,6721,324,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
8,E,3,2,1,1134,9568,316,spatial_awareness,High,False,True,False,False,False,appendix_c
8,F,2,1,1,1388,6238,322,spatial_awareness,High,False,True,False,False,False,appendix_c
9,E,4,3,1,1200,13078,335,spatial_awareness,High,False,True,False,False,False,appendix_c
9,F,1,1,0,1338,6406,343,spatial_awareness,High,False,True,False,False,False,appendix_c
10,E,9,5,3,1663,6743,288,multi_hop_topological,Expert,True,False,False,False,False,appendix_c
10,F,3,2,1,2159,14524,326,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
11,E,6,4,2,1607,13536,317,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
11,F,7,4,3,1853,9075,311,analytical_aggregation,Hard,False,False,True,False,False,appendix_c
12,E,5,4,1,1585,6704,337,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
12,F,1,0,1,1853,15869,404,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
13,E,2,1,1,1413,15103,340,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
13,F,6,4,2,1822,13166,347,multi_hop_topological,Expert,True,False,True,False,False,appendix_c
14,E,1,1,0,1589,6520,311,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
14,F,1,0,1,2174,12456,309,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
15,E,1,1,0,1207,11813,317,spatial_awareness,High,False,True,False,False,False,appendix_c
15,F,1,0,1,1337,7595,333,spatial_awareness,High,False,True,False,False,False,appendix_c
16,E,3,2,1,1207,11336,419,spatial_awareness,High,False,True,False,False,False,appendix_c
16,F,2,1,1,1375,6225,324,spatial_awareness,High,False,True,False,False,False,appendix_c
17,E,2,1,1,1100,9109,326,spatial_awareness,High,False,True,False,False,False,appendix_c
17,F,2,1,1,1427,12313,348,spatial_awareness,High,False,True,True,False,False,appendix_c
18,E,3,2,1,1577,7229,327,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
18,F,1,0,1,1940,15480,309,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
19,E,1,0,1,1744,8051,341,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
19,F,2,1,1,2073,11316,398,multi_hop_topological,Expert,False,True,True,False,False,appendix_c
20,E,4,2,2,1664,6233,320,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
20,F,6,4,2,1933,12572,399,multi_hop_topological,Expert,True,False,True,False,False,appendix_c
21,E,8,5,2,1771,6695,327,analytical_aggregation,Hard,False,False,False,False,False,appendix_c
21,F,1,0,1,1850,5875,316,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
22,E,4,2,1,1199,6925,374,spatial_awareness,High,False,True,False,False,False,appendix_c
22,F,3,2,1,1525,12799,319,spatial_awareness,High,False,True,True,False,False,appendix_c
23,E,1,1,0,1212,11805,333,spatial_awareness,High,False,True,False,False,False,appendix_c
23,F,1,0,1,1343,6340,344,spatial_awareness,High,False,True,False,False,False,appendix_c
24,E,4,2,1,1598,14703,306,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
24,F,4,2,2,1961,12857,361,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
25,E,2,1,1,1315,6256,501,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
25,F,4,3,1,1388,6266,359,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
26,E,1,0,1,1686,7189,335,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
26,F,9,5,3,2188,12755,391,multi_hop_topological,Expert,True,False,True,False,False,appendix_c
27,E,3,2,1,1692,7485,342,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
27,F,0,0,0,1977,12932,443,multi_hop_topological,Expert,False,True,True,False,False,appendix_c
28,E,2,1,1,1778,7136,815,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
28,F,9,5,2,2018,7165,339,multi_hop_topological,Expert,True,False,True,False,False,appendix_c
29,E,6,4,2,1121,10544,365,spatial_awareness,High,True,False,False,False,False,appendix_c
29,F,1,1,0,1349,15700,388,spatial_awareness,High,False,True,False,False,False,appendix_c
30,E,2,1,1,1519,11765,337,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
30,F,1,0,1,1841,12674,399,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
31,E,1,0,1,1556,15448,381,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
31,F,2,1,1,2157,12577,409,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
32,E,1,0,1,1166,10027,446,spatial_awareness,High,False,True,False,False,False,appendix_c
32,F,2,1,1,1413,7204,379,spatial_awareness,High,False,True,False,False,False,appendix_c
33,E,2,1,1,1576,11903,401,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
33,F,1,0,1,2128,13298,346,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
34,E,6,4,2,1710,8965,367,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
34,F,3,2,1,2061,14568,373,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
35,E,1,1,0,1699,5955,349,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
35,F,4,2,1,1827,14781,397,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
36,E,6,4,2,1636,13510,365,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
36,F,2,1,1,1821,8579,358,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
37,E,3,2,1,1566,9143,332,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
37,F,1,0,1,1814,6491,369,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
38,E,3,2,1,1165,10496,314,spatial_awareness,High,False,True,False,False,False,appendix_c
38,F,1,0,1,1329,6134,315,spatial_awareness,High,False,True,False,False,False,appendix_c
39,E,3,2,1,1617,6484,322,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
39,F,1,1,0,1785,5362,395,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
40,E,2,1,1,1239,14573,370,spatial_awareness,High,False,True,False,False,False,appendix_c
40,F,1,0,1,1380,6089,367,spatial_awareness,High,False,True,False,False,False,appendix_c
41,E,2,1,1,1250,5539,309,spatial_awareness,High,False,True,False,False,False,appendix_c
41,F,0,0,0,1387,6102,456,spatial_awareness,High,False,True,False,False,False,appendix_c
42,E,2,1,1,920,14724,348,spatial_awareness,High,False,False,False,False,False,appendix_c
42,F,1,0,1,1310,7741,1982,spatial_awareness,High,False,True,False,False,False,appendix_c
43,E,2,1,1,1541,13424,1991,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
43,F,2,1,1,1941,5281,478,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
44,E,4,2,1,1759,6940,337,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
44,F,4,2,2,1922,11907,336,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
45,E,2,1,1,1642,6657,395,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
45,F,8,5,2,1820,14767,338,multi_hop_topological,Expert,True,False,True,False,False,appendix_c
46,E,3,2,1,1295,12037,325,spatial_awareness,High,False,True,False,False,False,appendix_c
46,F,1,0,1,1255,5855,520,spatial_awareness,High,False,True,False,False,False,appendix_c
47,E,2,1,1,1515,12877,536,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
47,F,3,2,1,1975,5012,403,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
48,E,2,1,1,1248,7637,301,spatial_awareness,High,False,True,False,False,False,appendix_c
48,F,1,0,1,1346,7054,298,spatial_awareness,High,False,True,False,False,False,appendix_c
49,E,1,0,1,1437,12786,669,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
49,F,0,0,0,1850,13885,323,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
50,E,3,2,1,1708,7022,537,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
50,F,1,0,1,2154,7960,363,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
51,E,3,2,1,1659,8175,617,analytical_aggregation,Hard,True,True,False,False,False,appendix_c
51,F,1,0,1,1926,14365,358,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
52,E,4,2,2,1659,6988,401,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
52,F,3,2,1,1682,14263,354,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
53,E,2,1,1,1202,12361,324,spatial_awareness,High,False,True,False,False,False,appendix_c
53,F,1,0,1,1345,6288,356,spatial_awareness,High,False,True,False,False,False,appendix_c
54,E,2,1,1,1485,12328,695,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
54,F,1,0,1,2050,12740,665,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
55,E,4,3,1,1694,6659,407,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
55,F,1,0,1,2208,6888,353,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
56,E,3,2,1,1179,10477,308,spatial_awareness,High,False,True,False,False,False,appendix_c
56,F,1,0,1,1347,6276,379,spatial_awareness,High,False,True,False,False,False,appendix_c
57,E,3,2,1,1495,12188,308,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
57,F,8,4,3,1980,6155,430,analytical_aggregation,Hard,False,False,True,False,False,appendix_c
58,E,3,2,1,1744,12961,307,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
58,F,1,0,1,2175,8437,314,analytical_aggregation,Hard,False,True,True,False,False,appendix_c
59,E,4,2,1,1616,8201,334,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
59,F,1,0,1,1998,13995,454,multi_hop_topological,Expert,False,True,True,False,False,appendix_c
60,E,2,1,1,1273,12702,343,spatial_awareness,High,False,True,False,False,False,appendix_c
60,F,1,0,1,1385,7661,319,spatial_awareness,High,False,True,False,False,False,appendix_c
61,E,1,0,1,1204,13389,308,spatial_awareness,High,False,True,False,False,False,appendix_c
61,F,1,0,1,1368,7123,412,spatial_awareness,High,False,True,False,False,False,appendix_c
62,E,1,1,0,1288,14591,735,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
62,F,4,2,2,1824,16656,3882,multi_hop_topological,Expert,True,True,True,False,False,appendix_c
63,E,4,3,1,1675,12343,341,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
63,F,7,4,2,2120,10733,358,analytical_aggregation,Hard,False,False,True,False,False,appendix_c
64,E,6,4,2,1713,13131,393,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
64,F,9,5,3,1996,7518,710,multi_hop_topological,Expert,True,False,True,False,False,appendix_c
65,E,4,2,1,1693,7223,715,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
65,F,7,4,2,1874,15844,693,multi_hop_topological,Expert,True,False,True,False,False,appendix_c
66,E,2,1,1,1632,6973,388,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
66,F,2,1,1,1993,12969,864,multi_hop_topological,Expert,False,True,True,False,False,appendix_c
