q_id,group,score,accuracy,reasoning,tokens,latency_ms,retrieval_ms,type,difficulty,bim_insight,hallucination,expanded_from_seed,context_is_iap,truncated,prompt_mode
0,H,1,0,1,3306,13827,626,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
0,I,2,1,1,1634,7678,634,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
0,J,9,5,2,1514,14219,8210,multi_hop_topological,Expert,True,False,False,False,False,appendix_c
1,H,7,4,2,3436,7162,571,analytical_aggregation,Hard,True,True,False,False,False,appendix_c
1,I,7,4,2,1116,6535,451,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
1,J,7,4,2,1337,13375,6772,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
2,H,2,1,1,3483,13894,346,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
2,I,7,4,2,1544,13226,327,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
2,J,3,2,1,2180,12910,6761,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
3,H,1,0,1,3602,11460,318,multi_hop_topological,Expert,True,True,False,False,True,appendix_c
3,I,1,0,1,1561,6311,335,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
3,J,6,3,2,1710,19226,6394,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
4,H,1,1,0,3357,9153,331,spatial_awareness,High,False,True,False,False,False,appendix_c
4,I,1,1,0,1183,11491,395,spatial_awareness,High,False,True,False,False,False,appendix_c
4,J,4,3,1,1141,16126,5971,spatial_awareness,High,False,False,False,False,False,appendix_c
5,H,1,1,0,3125,9586,312,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
5,I,1,1,0,1293,6894,361,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
5,J,1,0,1,2426,12948,6473,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
6,H,3,2,1,3183,11963,314,spatial_awareness,High,False,True,False,False,False,appendix_c
6,I,2,1,1,1290,6154,323,spatial_awareness,High,False,True,False,False,False,appendix_c
6,J,4,2,2,1105,15967,6710,spatial_awareness,High,False,False,False,False,False,appendix_c
7,H,4,2,2,3539,12419,375,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
7,I,3,1,2,1490,11548,354,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
7,J,1,0,1,1314,18422,6262,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
8,H,1,0,1,3269,14173,295,spatial_awareness,High,False,True,False,False,False,appendix_c
8,I,6,4,2,1140,11027,300,spatial_awareness,High,False,True,False,False,False,appendix_c
8,J,9,5,3,1130,17960,6918,spatial_awareness,High,False,False,False,False,False,appendix_c
9,H,1,0,1,3325,6965,368,spatial_awareness,High,False,True,False,False,False,appendix_c
9,I,4,3,1,1213,6373,322,spatial_awareness,High,False,True,False,False,False,appendix_c
9,J,3,2,1,1147,17081,6969,spatial_awareness,High,False,False,False,False,False,appendix_c
10,H,2,1,1,3453,13536,324,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
10,I,4,3,1,1567,6917,357,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
10,J,8,5,2,1508,18517,6208,multi_hop_topological,Expert,True,False,False,False,False,appendix_c
11,H,2,1,1,3396,14038,338,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
11,I,3,2,1,1330,13180,325,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
11,J,2,1,1,2301,12543,5964,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
12,H,2,1,1,3510,10517,315,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
12,I,5,3,2,1627,7283,308,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
12,J,2,1,1,1535,22537,7198,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
13,H,2,1,1,3624,11525,327,multi_hop_topological,Expert,True,True,False,False,True,appendix_c
13,I,1,0,1,1247,6756,324,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
13,J,4,3,1,1711,19402,7001,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
14,H,3,2,1,3317,12860,324,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
14,I,3,2,1,1498,7176,337,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
14,J,2,1,1,1671,19911,6940,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
15,H,1,0,1,3062,15975,351,spatial_awareness,High,False,True,False,False,False,appendix_c
15,I,2,1,1,1172,11881,386,spatial_awareness,High,False,True,False,False,False,appendix_c
15,J,3,2,1,1197,19024,6075,spatial_awareness,High,False,True,False,False,False,appendix_c
16,H,1,1,0,3292,6272,401,spatial_awareness,High,False,True,False,False,False,appendix_c
16,I,1,1,0,1164,10149,364,spatial_awareness,High,False,True,False,False,False,appendix_c
16,J,1,1,0,1526,22919,6238,spatial_awareness,High,False,True,False,False,False,appendix_c
17,H,1,0,1,3324,7380,444,spatial_awareness,High,False,True,False,False,False,appendix_c
17,I,2,1,1,1070,9795,469,spatial_awareness,High,False,True,False,False,False,appendix_c
17,J,2,1,1,1144,19137,6668,spatial_awareness,High,False,True,False,False,False,appendix_c
18,H,1,0,1,3414,12769,376,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
18,I,4,2,1,1613,6873,435,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
18,J,2,1,1,2037,18201,6728,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
19,H,6,4,2,3467,9144,357,multi_hop_topological,Expert,False,False,False,False,True,appendix_c
19,I,1,0,1,1631,8638,385,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
19,J,1,0,1,2350,20446,6585,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
20,H,1,1,0,3345,12978,1029,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
20,I,6,4,2,1639,9109,876,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
20,J,8,5,3,1824,21614,6445,multi_hop_topological,Expert,True,False,False,False,False,appendix_c
21,H,4,3,1,3629,9026,366,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
21,I,3,2,1,1438,12459,403,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
21,J,1,0,1,1280,22517,7877,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
22,H,1,0,1,3301,7460,343,spatial_awareness,High,False,True,False,False,False,appendix_c
22,I,4,2,1,1199,5762,521,spatial_awareness,High,False,True,False,False,False,appendix_c
22,J,8,5,3,1138,17379,6297,spatial_awareness,High,False,False,False,False,False,appendix_c
23,H,1,0,1,3355,15613,419,spatial_awareness,High,False,True,False,False,False,appendix_c
23,I,0,0,0,1235,12450,436,spatial_awareness,High,False,True,False,False,False,appendix_c
23,J,1,1,0,1461,13495,6915,spatial_awareness,High,False,True,False,False,False,appendix_c
24,H,1,1,0,3473,9994,530,multi_hop_topological,Expert,False,True,False,False,True,appendix_c
24,I,6,4,2,1624,9427,519,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
24,J,0,0,0,2362,20179,6999,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
25,H,3,2,1,3436,12120,357,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
25,I,2,1,1,1113,6623,331,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
25,J,1,1,0,1315,11967,6351,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
26,H,1,1,0,3505,8908,351,multi_hop_topological,Expert,False,True,False,False,True,appendix_c
26,I,1,0,1,1646,6575,334,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
26,J,2,1,1,1626,18540,6309,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
27,H,4,2,1,3281,12565,371,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
27,I,0,0,0,1273,14965,313,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
27,J,7,5,2,1285,19287,6498,multi_hop_topological,Expert,True,False,False,False,False,appendix_c
28,H,2,1,1,3623,28451,428,multi_hop_topological,Expert,False,True,False,False,True,appendix_c
28,I,1,1,0,1274,14698,451,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
28,J,1,0,1,1915,12188,6439,multi_hop_topological,Expert,True,True,False,False,False,appendix_c
29,H,1,1,0,3262,11978,333,spatial_awareness,High,False,True,False,False,False,appendix_c
29,I,7,4,2,1155,10076,364,spatial_awareness,High,False,True,False,False,False,appendix_c
29,J,3,2,1,1382,19656,6416,spatial_awareness,High,False,True,False,False,False,appendix_c
30,H,2,1,1,3305,5583,594,analytical_aggregation,Hard,False,False,False,False,False,appendix_c
30,I,2,1,1,1423,13346,356,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
30,J,3,2,1,2071,11795,5982,analytical_aggregation,Hard,False,True,False,False,False,appendix_c
31,H,3,2,1,3252,10514,431,multi_hop_topological,Expert,False,True,False,False,False,appendix_c
