q_id,task_type,roof_no_asset_case,gold_id_count,registration_audit_pass,retrieved_id_recall,answer_id_recall,llm_judge_accuracy_0_5
0,Multi-hop,0,2,1,1.0,0.5,3.0
2,Multi-hop,0,2,1,1.0,0.0,0.0
3,Multi-hop,0,2,1,1.0,1.0,2.0
4,Spatial,0,1,1,0.0,0.0,0.0
5,Multi-hop,0,2,1,1.0,1.0,4.0
6,Spatial,0,1,1,0.0,0.0,0.0
8,Spatial,0,1,1,0.0,0.0,0.0
9,Spatial,0,1,1,0.0,0.0,0.0
10,Multi-hop,0,2,1,1.0,0.5,2.0
13,Multi-hop,0,2,1,1.0,1.0,5.0
15,Spatial,0,1,1,1.0,1.0,0.0
16,Spatial,0,1,1,1.0,1.0,0.0
17,Spatial,0,1,1,0.0,0.0,0.0
19,Multi-hop,0,2,1,1.0,1.0,4.0
20,Multi-hop,0,2,1,1.0,1.0,5.0
22,Spatial,0,1,1,0.0,0.0,1.0
23,Spatial,0,1,1,0.0,0.0,0.0
24,Multi-hop,0,2,1,1.0,1.0,4.0
26,Multi-hop,0,2,1,1.0,1.0,4.0
27,Multi-hop,0,2,1,1.0,1.0,4.0
28,Multi-hop,0,2,1,1.0,0.5,2.0
29,Spatial,0,1,1,1.0,1.0,0.0
31,Multi-hop,0,2,1,1.0,0.5,4.0
32,Spatial,0,1,1,0.0,1.0,0.0
34,Multi-hop,0,2,1,1.0,0.0,0.0
35,Multi-hop,0,2,1,0.5,0.5,2.0
38,Spatial,0,1,1,1.0,1.0,0.0
40,Spatial,0,1,1,1.0,1.0,0.0
41,Spatial,0,1,1,0.0,0.0,0.0
42,Spatial,0,1,1,0.0,1.0,0.0
44,Multi-hop,0,2,1,1.0,1.0,5.0
45,Multi-hop,0,2,1,1.0,0.5,3.0
46,Spatial,0,1,1,0.0,0.0,0.0
48,Spatial,0,1,1,0.0,0.0,0.0
53,Spatial,0,1,1,0.0,0.0,1.0
56,Spatial,0,1,1,0.0,1.0,0.0
59,Multi-hop,0,2,1,1.0,1.0,4.0
60,Spatial,0,1,1,1.0,0.0,0.0
61,Spatial,0,1,1,0.0,0.0,2.0
62,Multi-hop,0,2,1,0.5,0.5,3.0
64,Multi-hop,0,2,1,1.0,1.0,5.0
65,Multi-hop,0,2,1,1.0,0.5,1.0
66,Multi-hop,0,2,1,1.0,1.0,4.0
67,Multi-hop,0,2,1,1.0,0.5,3.0
68,Multi-hop,0,2,1,1.0,0.5,3.0
69,Spatial,0,1,1,0.0,0.0,0.0
70,Spatial,0,1,1,1.0,1.0,1.0
71,Multi-hop,0,2,1,1.0,1.0,5.0
72,Spatial,0,1,1,1.0,1.0,0.0
73,Spatial,0,1,1,0.0,0.0,0.0
76,Spatial,0,1,1,0.0,0.0,0.0
77,Spatial,0,1,1,0.0,0.0,0.0
78,Spatial,0,1,1,0.0,1.0,0.0
80,Multi-hop,0,2,1,1.0,1.0,3.0
81,Multi-hop,0,2,1,1.0,1.0,5.0
83,Spatial,0,1,1,1.0,1.0,0.0
85,Multi-hop,0,2,1,1.0,1.0,5.0
86,Multi-hop,0,2,1,1.0,0.5,3.0
87,Multi-hop,0,2,1,1.0,0.5,4.0
88,Multi-hop,0,2,1,0.5,0.0,0.0
90,Multi-hop,0,2,1,1.0,1.0,5.0
91,Spatial,0,1,1,0.0,0.0,0.0
92,Multi-hop,0,2,1,1.0,0.5,3.0
93,Multi-hop,0,2,1,1.0,0.5,3.0
94,Multi-hop,0,2,1,1.0,0.5,2.0
95,Multi-hop,0,2,1,1.0,0.5,3.0
97,Multi-hop,0,2,1,1.0,0.5,2.0
98,Spatial,0,1,1,0.0,0.0,0.0
99,Spatial,0,1,1,0.0,0.0,0.0
100,Spatial,0,1,1,0.0,0.0,0.0
101,Spatial,0,1,1,0.0,1.0,0.0
103,Multi-hop,0,2,1,1.0,1.0,5.0
105,Multi-hop,0,2,1,1.0,1.0,5.0
106,Multi-hop,0,2,1,1.0,0.5,2.0
107,Spatial,0,1,1,0.0,0.0,0.0
109,Multi-hop,1,0,0,,,1.0
110,Spatial,0,1,1,0.0,0.0,0.0
112,Multi-hop,0,2,1,1.0,1.0,3.0
114,Spatial,0,1,1,0.0,1.0,0.0
115,Spatial,0,1,1,0.0,0.0,2.0
116,Spatial,0,1,1,1.0,1.0,0.0
117,Multi-hop,0,2,1,1.0,1.0,3.0
118,Spatial,0,1,1,0.0,1.0,1.0
119,Spatial,0,1,1,0.0,0.0,1.0
121,Spatial,0,1,1,0.0,0.0,0.0
122,Spatial,0,1,1,1.0,1.0,1.0
123,Multi-hop,1,0,0,,,1.0
125,Spatial,0,1,1,1.0,1.0,0.0
126,Multi-hop,0,2,1,1.0,0.0,0.0
128,Spatial,0,1,1,0.0,0.0,0.0
130,Spatial,0,1,1,1.0,1.0,0.0
132,Spatial,0,1,1,0.0,1.0,1.0
133,Spatial,0,1,1,1.0,1.0,1.0
136,Spatial,0,1,1,0.0,0.0,0.0
137,Spatial,0,1,1,1.0,0.0,0.0
138,Multi-hop,0,2,1,1.0,1.0,5.0
140,Multi-hop,0,2,1,0.5,0.5,2.0
142,Multi-hop,0,2,1,1.0,0.5,3.0
143,Multi-hop,0,2,1,1.0,0.0,0.0
145,Spatial,0,1,1,0.0,0.0,1.0
146,Spatial,0,1,1,0.0,0.0,0.0
147,Spatial,0,1,1,0.0,0.0,0.0
148,Spatial,0,1,1,1.0,0.0,0.0
149,Spatial,0,1,1,0.0,0.0,0.0
150,Multi-hop,0,2,1,1.0,0.0,0.0
151,Spatial,0,1,1,1.0,1.0,0.0
152,Multi-hop,0,2,1,1.0,1.0,5.0
153,Spatial,0,1,1,0.0,0.0,0.0
154,Spatial,0,1,1,0.0,0.0,0.0
157,Multi-hop,0,2,1,1.0,1.0,5.0
158,Spatial,0,1,1,0.0,1.0,0.0
159,Multi-hop,0,2,1,1.0,1.0,4.0
160,Spatial,0,1,1,0.0,0.0,0.0
161,Multi-hop,0,2,1,1.0,1.0,1.0
162,Multi-hop,0,2,1,1.0,0.5,4.0
163,Multi-hop,0,2,1,1.0,1.0,5.0
165,Multi-hop,0,2,1,1.0,1.0,5.0
167,Multi-hop,0,2,1,1.0,1.0,5.0
169,Spatial,0,1,1,0.0,0.0,0.0
170,Multi-hop,0,2,1,1.0,1.0,5.0
171,Multi-hop,0,2,1,1.0,0.5,2.0
172,Multi-hop,0,2,1,1.0,1.0,4.0
173,Multi-hop,0,2,1,1.0,0.0,0.0
174,Spatial,0,1,1,1.0,1.0,0.0
175,Spatial,0,1,1,0.0,0.0,0.0
179,Multi-hop,0,2,1,1.0,0.5,3.0
