q_id,group,method_label,score,accuracy,reasoning,hallucination,bim_insight,type,difficulty,retrieval_ms,latency_ms,n_retrieved,truncated,corpus
0,I,RAPTOR,,,,,,multi_hop_topological,Expert,506,3825,0,False,idp_only
0,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6613,10710,3,False,idp_only
0,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,8232,18646,3,False,idp_only
1,I,RAPTOR,,,,,,analytical_aggregation,Hard,498,10970,1,False,idp_only
1,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,15416,20185,1,False,idp_only
1,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4626,9343,3,False,idp_only
2,I,RAPTOR,,,,,,multi_hop_topological,Expert,372,6873,0,False,idp_only
2,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6136,18003,3,False,idp_only
2,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4560,15120,1,False,idp_only
3,I,RAPTOR,,,,,,multi_hop_topological,Expert,225,7191,0,False,idp_only
3,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,9337,20926,3,False,idp_only
3,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4346,13774,4,False,idp_only
4,I,RAPTOR,,,,,,spatial_awareness,High,225,12555,1,False,idp_only
4,J,HyDE+Fusion,,,,,,spatial_awareness,High,5711,15148,4,False,idp_only
4,K,Corrective-RAG,,,,,,spatial_awareness,High,4206,8980,3,False,idp_only
5,I,RAPTOR,,,,,,multi_hop_topological,Expert,281,4009,0,False,idp_only
5,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5962,10208,4,False,idp_only
5,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4135,14149,3,False,idp_only
6,I,RAPTOR,,,,,,spatial_awareness,High,219,7806,1,False,idp_only
6,J,HyDE+Fusion,,,,,,spatial_awareness,High,6608,14965,5,False,idp_only
6,K,Corrective-RAG,,,,,,spatial_awareness,High,4419,9545,1,False,idp_only
7,I,RAPTOR,,,,,,analytical_aggregation,Hard,256,5534,0,False,idp_only
7,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5719,10623,1,False,idp_only
7,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4301,17566,3,False,idp_only
8,I,RAPTOR,,,,,,spatial_awareness,High,242,9437,1,False,idp_only
8,J,HyDE+Fusion,,,,,,spatial_awareness,High,6409,15841,4,False,idp_only
8,K,Corrective-RAG,,,,,,spatial_awareness,High,4542,13069,3,False,idp_only
9,I,RAPTOR,,,,,,spatial_awareness,High,226,8315,1,False,idp_only
9,J,HyDE+Fusion,,,,,,spatial_awareness,High,5273,13645,3,False,idp_only
9,K,Corrective-RAG,,,,,,spatial_awareness,High,4727,9203,1,False,idp_only
10,I,RAPTOR,,,,,,multi_hop_topological,Expert,295,6324,0,False,idp_only
10,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6137,10220,3,False,idp_only
10,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4456,12395,2,False,idp_only
11,I,RAPTOR,,,,,,analytical_aggregation,Hard,242,3106,0,False,idp_only
11,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5781,11282,4,False,idp_only
11,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4673,9260,1,False,idp_only
12,I,RAPTOR,,,,,,analytical_aggregation,Hard,333,3780,0,False,idp_only
12,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5961,10711,3,False,idp_only
12,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4341,8107,3,False,idp_only
13,I,RAPTOR,,,,,,multi_hop_topological,Expert,360,4004,0,False,idp_only
13,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,8912,24111,1,False,idp_only
13,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,3729,21814,3,False,idp_only
14,I,RAPTOR,,,,,,analytical_aggregation,Hard,214,8425,0,False,idp_only
14,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6844,18119,3,False,idp_only
14,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,11202,16988,3,False,idp_only
15,I,RAPTOR,,,,,,spatial_awareness,High,288,8055,1,False,idp_only
15,J,HyDE+Fusion,,,,,,spatial_awareness,High,6885,14833,3,False,idp_only
15,K,Corrective-RAG,,,,,,spatial_awareness,High,4710,8529,2,False,idp_only
16,I,RAPTOR,,,,,,spatial_awareness,High,229,8090,1,False,idp_only
16,J,HyDE+Fusion,,,,,,spatial_awareness,High,5824,15706,4,False,idp_only
16,K,Corrective-RAG,,,,,,spatial_awareness,High,5391,14711,3,False,idp_only
17,I,RAPTOR,,,,,,spatial_awareness,High,260,8652,1,False,idp_only
17,J,HyDE+Fusion,,,,,,spatial_awareness,High,5701,15587,3,False,idp_only
17,K,Corrective-RAG,,,,,,spatial_awareness,High,4712,9474,1,False,idp_only
18,I,RAPTOR,,,,,,analytical_aggregation,Hard,248,4123,0,False,idp_only
18,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6380,14510,3,False,idp_only
18,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4408,7900,3,False,idp_only
19,I,RAPTOR,,,,,,multi_hop_topological,Expert,241,5989,0,False,idp_only
19,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,9205,23204,1,False,idp_only
19,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4837,15786,1,False,idp_only
20,I,RAPTOR,,,,,,multi_hop_topological,Expert,298,7677,0,False,idp_only
20,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,8921,22081,1,False,idp_only
20,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4935,9280,3,False,idp_only
21,I,RAPTOR,,,,,,analytical_aggregation,Hard,228,6131,0,False,idp_only
21,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6692,13120,1,False,idp_only
21,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,5062,15278,3,False,idp_only
22,I,RAPTOR,,,,,,spatial_awareness,High,233,8084,1,False,idp_only
22,J,HyDE+Fusion,,,,,,spatial_awareness,High,5948,17946,2,False,idp_only
22,K,Corrective-RAG,,,,,,spatial_awareness,High,4447,8209,3,False,idp_only
23,I,RAPTOR,,,,,,spatial_awareness,High,307,4373,1,False,idp_only
23,J,HyDE+Fusion,,,,,,spatial_awareness,High,5708,9168,3,False,idp_only
23,K,Corrective-RAG,,,,,,spatial_awareness,High,4527,13604,3,False,idp_only
24,I,RAPTOR,,,,,,multi_hop_topological,Expert,222,7784,0,False,idp_only
24,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5893,13655,2,False,idp_only
